id,product_name,url,present_price,old_price,discount,manufacturer,raw_html_path,laptop_type,cpu,cpu_generation,disk_type,disk_size,ram_gb,max_ram_slot,screen_size,screen_resolution,screen_ratio,screen_refresh_rate,gpu_type,gpu_model,weight_kg,ports,special_features,release_year
22,Laptop Acer Gaming Nitro V ANV15 51 53NE i5 13420H/16GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QNASV.002),https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-53ne-i5-nhqnasv002,20990000,23990000,0.13,acer,data/raw_htmls/tgdd/acer_29.html,normal,"i5, 13420H, 2.1GHz",13,SSD NVMe PCIe,512,16,2,15.6,1920 x 1080,16:9,144,dedicated,Nvidia RTX 2050,2.1,"USB Type-C, HDMI, LAN (RJ45), USB 3.2, Jack tai nghe 3.5 mm",đèn bàn phím,2023
23,Laptop Acer Swift 3 SF314 511 55QE i5 1135G7/16GB/512GB/Win11 (NX.ABNSV.003),https://www.thegioididong.com/laptop/acer-swift-3-sf314-511-55qe-i5-nxabnsv003,16290000,22990000,0.29,acer,data/raw_htmls/tgdd/acer_30.html,normal,"i5, 1135G7, 2.4GHz",11,SSD NVMe PCIe,512,16,1,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.19,"HDMI, Thunderbolt 4 USB-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2021
24,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),https://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007,13190000,15490000,0.15,acer,data/raw_htmls/tgdd/acer_4.html,normal,"i5, 1135G7, 2.4GHz",11,SSD NVMe PCIe,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.46,"HDMI, LAN (RJ45), USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2021
25,Laptop Acer Aspire 3 A315 58 54XF i5 1135G7/8GB/512GB/Win11 (NX.AM0SV.007),https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007,11490000,14990000,0.23,acer,data/raw_htmls/tgdd/acer_5.html,normal,"i5, 1135G7, 2.4GHz",11,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),2021
26,Laptop Acer Aspire 3 A314 35 C3KS N5100/4GB/256GB/Win11 (NX.A7SSV.009),https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-c3ks-n5100-nxa7ssv009,5990000,6990000,0.14,acer,data/raw_htmls/tgdd/acer_7.html,normal,Celeron N5100 1.1GHz,5,SSD NVMe PCIe,256,4,2,14.0,1366 x 768,16:9,60,integrated,Intel UHD,1.45,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Hỗ trợ khe cắm HDD SATA,2021
28,Laptop Acer Aspire Vero AV15 51 58HB i5 1155G7/8GB/512GB/Win11 (NX.AYCSV.002),https://www.thegioididong.com/laptop/acer-aspire-vero-av15-51-58hb-i5-nxaycsv002,12990000,17990000,0.28,acer,data/raw_htmls/tgdd/acer_8.html,normal,"i5, 1155G7, 2.5GHz",11,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.8,"HDMI, LAN (RJ45), USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
29,Laptop Acer Gaming Nitro 5 AN515 58 769J i7 12700H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.003),https://www.thegioididong.com/laptop/acer-nitro-5-an515-58-769j-i7-nhqfhsv003,23490000,31790000,0.26,acer,data/raw_htmls/tgdd/acer_9.html,normal,"i7, 12700H, 2.30 GHz",12,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,144,dedicated,nvidia RTX 3050,2.5,"USB Type-C, HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
30,Laptop Asus TUF Gaming F15 FX506HF i5 11400H/8GB/512GB/4GB RTX2050/144Hz/Win11 (HN014W),https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hf-i5-hn014w,16990000,19990000,0.15,asus,data/raw_htmls/tgdd/asus_0.html,normal,"i5, 11400H, 2.7GHz",11,SSD,512,8,1,15.6,1920 x 1080,16:9,144,dedicated,NVIDIA RTX 2050,2.3,"Thunderbolt 4, HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
31,Laptop Asus Vivobook S 14 Flip TP3402VA i5 13500H/16GB/512GB/Touch/Win11 (LZ031W),https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i5-lz031w,19990000,21990000,0.09,asus,data/raw_htmls/tgdd/asus_10.html,normal,"i5, 13500H, 2.6GHz",13,SSD,512,16,1,14.0,1920 x 1200,16:10,60,integrated,Intel Iris Xe,1.5,"USB Type-C 3.2, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm","màn hình cảm ứng, đèn bàn phím",2023
32,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,13990000,14490000,0.03,asus,data/raw_htmls/tgdd/asus_1.html,normal,"Ryzen 5, 7520U, 2.8GHz",7,SSD NVMe PCIe,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Radeon,1.63,"HDMI, USB Type-C, 1 x USB 2.0, 1 x USB 3.2, Jack tai nghe 3.5 mm","Có thể tháo ra, lắp thanh khác tối đa 1 TB",2023
34,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11/(NK246W),https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w,10790000,11990000,0.1,asus,data/raw_htmls/tgdd/asus_12.html,normal,"i3, 1215U, 1.2GHz",12,SSD NVMe PCIe,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.4,"HDMI, USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2023
35,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w,19490000,22990000,0.15,asus,data/raw_htmls/tgdd/asus_13.html,normal,"i7, 1355U, 1.7GHz",13,SSD,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"HDMI, USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Windows 11 Home SL,2023
36,Laptop Asus Vivobook 14 X1404VA i5 1335U/16GB/512GB/Win11 (NK050W),https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk050w,16490000,18490000,0.11,asus,data/raw_htmls/tgdd/asus_14.html,normal,"i5, 1335U, 1.3GHz",13,SSD,512,16,1,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.4,"HDMI, USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Tháo cắt ra, làm khác lắp với tối 1 TB ồ cứng",2023
37,Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (HN074W),https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn074w,20990000,23990000,0.13,asus,data/raw_htmls/tgdd/asus_15.html,normal,"i5, 12500H, 2.5GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,144,dedicated,NVIDIA RTX 3050,2.2,"Thunderbolt 4, USB Type-C 3.2, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
38,Laptop Asus Vivobook X515EA i5 1135G7/16GB/512GB/Chuột/Win11 (EJ4155W),https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i5-ej4155w,13490000,14990000,0.1,asus,data/raw_htmls/tgdd/asus_16.html,normal,"i5, 1135G7, 2.4GHz",11,SSD,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.8,"HDMI, 2 x USB 2.0, USB Type-C, 1 x USB 3.2, Jack tai nghe 3.5 mm",,2023
39,Laptop Asus Vivobook 15 OLED A1505VA i7 13700H/16GB/512GB/Win11 (L1338W),https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i7-l1338w,21990000,24490000,0.1,asus,data/raw_htmls/tgdd/asus_17.html,normal,"i7, 13700H, 2.4GHz",13,SSD NVMe PCIe,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"USB Type-C 3.2, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm","Có thể tháo ra, lắp thanh khác tối đa 1 TB",2023
40,Laptop Asus TUF Gaming F17 FX706HF i5 11400H/16GB/512GB/4GB RTX2050/144Hz/Win11 (HX390W),https://www.thegioididong.com/laptop/asus-tuf-gaming-f17-fx706hf-i5-hx390w,19490000,20990000,0.07,asus,data/raw_htmls/tgdd/asus_18.html,normal,"i5, 11400H, 2.7GHz",11,SSD,512,16,2,17.3,1920 x 1080,16:9,144,dedicated,NVIDIA RTX 2050,2.6,"Thunderbolt 4, HDMI, LAN (RJ45), USB 3.2, 3.5 mm headphone jack",backlit keyboard,2023
41,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/8GB/512GB/Win11 (L1052W),https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1052w,16490000,20490000,0.2,asus,data/raw_htmls/tgdd/asus_19.html,normal,"i5, 13500H, 2.6GHz",13,SSD,512,8,2,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"USB Type-C 3.2, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm","Full HD OLED display, Windows 11 Home SL",2023
42,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w,10890000,12290000,0.11,asus,data/raw_htmls/tgdd/asus_2.html,normal,"i3, 1215U, 1.2GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2023
43,Laptop Asus Vivobook X515EA i3 1115G4/8GB/512GB/Win11 (EJ3948W),https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-ej3948w,10290000,11290000,0.09,asus,data/raw_htmls/tgdd/asus_20.html,normal,"i3, 1115G4, 3GHz",11,SSD,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.8,"HDMI, 2 x USB 2.0, USB Type-C, 1 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
44,Laptop Asus Zenbook 14 OLED UX3402VA i5 1340P/16GB/512GB/Cáp/Túi/Win11 (KM085W),https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i5-km085w,25490000,27990000,0.09,asus,data/raw_htmls/tgdd/asus_21.html,normal,"i5, 1340P, 1.9GHz",13,SSD,512,16,1,14.0,2880 x 1800,8:5,90,integrated,Intel Iris Xe,1.39,"2 x Thunderbolt 4, HDMI, 1 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
45,Laptop Asus Vivobook 14X OLED S3405VA i5 13500H/16GB/512GB/Win11 (KM072W),https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i5-km072w,19990000,22990000,0.13,asus,data/raw_htmls/tgdd/asus_22.html,normal,"i5, 13500H, 2.6GHz",13,SSD,512,16,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,1.4,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
46,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/Win11 (L1201W),https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1201w,23490000,24990000,0.06,asus,data/raw_htmls/tgdd/asus_24.html,normal,"i9, 13900H, 2.6GHz",13,SSD,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"USB Type-C 3.2, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm",,2023
47,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W),https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-k3405vc-i5-km006w,25490000,29490000,0.14,asus,data/raw_htmls/tgdd/asus_23.html,normal,"i5, 13500H, 2.6GHz",13,SSD,512,16,1,14.0,2880 x 1800,16:10,90,dedicated,nvidia RTX 3050,1.4,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
49,Laptop Asus Gaming TUF Dash F15 FX517ZE i5 12450H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (HN045W),https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517ze-i5-hn045w,19990000,24990000,0.2,asus,data/raw_htmls/tgdd/asus_26.html,normal,"i5, 12450H, 2GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,144,dedicated,NVIDIA RTX 3050Ti,2.0,"Thunderbolt 4, HDMI, LAN (RJ45), USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
51,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w,17990000,19990000,0.1,asus,data/raw_htmls/tgdd/asus_28.html,normal,"i5, 12500H, 2.5GHz",12,SSD NVMe PCIe,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"HDMI, USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Tháo ra, lắp thanh khác tối đa 1 TB",2023
52,Laptop Asus Vivobook S 14 Flip TP3402VA i3 1315U/8GB/256GB/Touch/Win11 (LZ025W),https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i3-lz025w,13490000,16990000,0.21,asus,data/raw_htmls/tgdd/asus_29.html,normal,"i3, 1315U, 1.2GHz",13,SSD NVMe PCIe Gen 4,256,8,1,14.0,1920 x 1200,16:10,60,integrated,Intel UHD,1.5,"USB Type-C 3.2, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm","màn hình cảm ứng, đèn bàn phím",2023
53,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/8GB/512GB/Win11 (NJ630W),https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj630w,11990000,13990000,0.14,asus,data/raw_htmls/tgdd/asus_30.html,normal,"Ryzen 5, 7520U, 2.8GHz",7,SSD,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Radeon,1.63,"HDMI, USB Type-C, 1 x USB 2.0, 1 x USB 3.2, Jack tai nghe 3.5 mm",,2023
54,Laptop Asus Vivobook X415EA i3 1115G4/8GB/256GB/Win11 (EK2034W),https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek2034w,9790000,10990000,0.11,asus,data/raw_htmls/tgdd/asus_3.html,normal,"i3, 1115G4, 3GHz",11,SSD,256,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.55,"HDMI, 2 x USB 2.0, USB Type-C, 1 x USB 3.2, Jack tai nghe 3.5 mm","Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng, Vỏ nhựa",2022
55,Laptop Asus Zenbook 14 Flip OLED UP3404VA i7 1360P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN039W),https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i7-kn039w,31490000,33990000,0.07,asus,data/raw_htmls/tgdd/asus_32.html,normal,i7,12,SSD,512,16,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,1.5,"2 x Thunderbolt 4, HDMI, 1 x USB 3.2, 3.5 mm headphone jack","touchscreen, backlit keyboard",2023
56,Laptop Asus Zenbook 14 OLED UX3402ZA i5 1240P/8GB/512GB/90Hz/Cáp/Túi/Win11 (KM220W),https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402za-i5-km218w,20290000,25490000,0.2,asus,data/raw_htmls/tgdd/asus_31.html,normal,"i5, 1240P, 1.7GHz",12,SSD,512,8,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,1.39,"HDMI, 2 x Thunderbolt 4, 1 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
58,Laptop Asus Gaming ROG Strix G16 G614JU i7 13650HX/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3777W),https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i7-n3777w,38990000,43990000,0.11,asus,data/raw_htmls/tgdd/asus_35.html,normal,"i7, 13650HX, 2.6GHz",13,SSD NVMe PCIe Gen 4,512,16,1,16.0,1920 x 1200,16:10,165,dedicated,nvidia RTX 4050 6GB,2.5,"Thunderbolt 4, USB 3.2 Gen 2 Type-C, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5mm",đèn bàn phím,2023
